artistName,trackName,msPlayed
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,245850
Rodrigo y Gabriela,Orion - Live,0
Loose Ends,Slow Down,162
Mariah Carey,Alone In Love,394
Mariah Carey,Alone In Love,696
Jessica Blue,The Dark Of Light - Club Mix,859
Loose Ends,Slow Down,1044
Jessica Blue,The Dark Of Light - Club Mix,30650
Mariah Carey,Alone In Love,251773
Jessica Blue,The Dark Of Light - Club Mix,14523
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,352510
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,362251
Mariah Carey,Alone In Love,452468
Mariah Carey,Alone In Love,251773
Mariah Carey,Alone In Love,39980
Justin Timberlake,Higher Higher,134977
Justin Timberlake,Montana,245905
Justin Timberlake,Breeze Off the Pond,73043
Akase,Rust - Midland Remix,184087
Lil Uzi Vert,Money Longer,3552
Wiz Khalifa,Pull Up (feat. Lil Uzi Vert),5479
Playboi Carti,Old Money,69474
Rick Ross,Trap Trap Trap (feat. Young Thug & Wale),14582
Phil Collins,In The Air Tonight - 2015 Remastered,394
Cirez D,DARE U,696
Dezza,TRUE,766
Arctic Monkeys,The Bad Thing,3297
R. Kelly,Home Alone (feat. Keith Murray),117887
Lil Uzi Vert,Early 20 Rager,274880
Loose Ends,Slow Down,442314
Iron Maiden,"Hallowed Be Thy Name - Live At Estadio Nacional, Santiago",104527
03 Greedo,Fortnite,272857
Sage The Gemini,Mack Down,174266
Sage The Gemini,Swerve,82940
Ray jr.,Same Crew,74512
Quavo,FLIP THE SWITCH (feat. Drake),156195
Neil Young,Southern Man,331440
Justin Timberlake,Higher Higher,258506
Shingo Nakamura,Move On,523615
Hot Since 82,The Core (feat. Alex Mills),407000
Quavo,FLIP THE SWITCH (feat. Drake),156195
Neil Young,Southern Man,331440
Justin Timberlake,Higher Higher,258506
Shingo Nakamura,Move On,357196
Hot Since 82,The Core (feat. Alex Mills),10936
YG,666 (feat. YoungBoy Never Broke Again),46277
Isaiah Rashad,Smile,203371
Justin Timberlake,Higher Higher,245039
Loose Ends,Slow Down,188662
Étienne de Crécy,You (feat. Madeline Follin) - Todd Edwards Remix (Radio Edit),89303
Rodrigo y Gabriela,Orion - Live,121765
Wyclef Jean,We Trying to Stay Alive,381805
2 Chainz,I'm Different,83406
Sage The Gemini,Mack Down,202385
Playboi Carti,Home (KOD),162133
Playboi Carti,Home (KOD),557
Lil Uzi Vert,Canadian Goose,60881
Lord Echo,Bohemian Idol - DJ Day's Chair-Bro Remix,487
Playboi Carti,Home (KOD),84706
Playboi Carti,Home (KOD),162133
Playboi Carti,Lookin,1787
Lil Uzi Vert,Canadian Goose,32994
Black Sheep,The Choice Is Yours (Revisited),46
DJ Nehpets,Juke N Money,603
Isaiah Rashad,Tity and Dolla (feat. Hugh Augustine & Jay Rock),626
Vic Mensa,Reverse (feat. G-Eazy),1021
Valee,About U (feat. DRAM),1300
The-Dream,On The Regular,1439
Zaytoven,3 Way,1509
Lil Uzi Vert,Early 20 Rager,179327
Meek Mill,Going Bad (feat. Drake),180522
Kendrick Lamar,DNA.,130218
JAY-Z,Excuse Me Miss,3668
6ix9ine,FEEFA,3691
Ryan Leslie,Addiction - Main,30278
Gucci Mane,Helpless,194823
Kate Simko & The London Electronic Orchestra,Schubert: Schwanengesang (Standchen) - Kate Simko Remix,176288
blink-182,Stay Together For The Kids,0
Young Thug,Hercules,0
Mike WiLL Made-It,"Gucci On My (feat. 21 Savage, YG & Migos)",0
Gorilla Zoe,Hood Nigga,0
Mike WiLL Made-It,Buy The World,0
Fat Joe,Deep Cover,0
French Montana,Pop That,0
Gorilla Zoe,Hood Nigga,3366
Wiz Khalifa,Pull Up (feat. Lil Uzi Vert),7337
Lil Uzi Vert,Early 20 Rager,274880
Donovan,Bert's Blues,236626
The Monkees,Daydream Believer,179613
Yo Gotti,Got Dem Racks,520500
Twista,Unsolved Mystery,284533
03 Greedo,Fortnite,582045
M.O.030,Kein Limit,145870
JACE,Elizabeth,212707
Cr7z,Weiße Rose,208000
Weezer,Can't Knock The Hustle,220999
Rick Ross,9 Piece,42420
Youngbloodz,Presidential,241120
blink-182,Stay Together For The Kids,0
M.O.030,Ich hab geträumt,0
French Montana,Pop That,928
Jeezy,Goldmine,975
Gorilla Zoe,Hood Nigga,1625
Jeezy,Let Em Know,13653
Jeezy,All There,52825
Mike WiLL Made-It,Buy The World,0
Fat Joe,Deep Cover,325
Young Money,Senile,4667
Young Thug,Hercules,12678
Mike WiLL Made-It,"Gucci On My (feat. 21 Savage, YG & Migos)",72051
T.I.,You Don't Know Me,217208
Playboi Carti,R.I.P. Fredo (feat. Young Nudy) - Notice Me,161200
21 Savage,gun smoke,0
Valee,Shell,1439
Wiz Khalifa,Pull Up (feat. Lil Uzi Vert),2832
DJ ESCO,Too Much Sauce,25523
Lil Uzi Vert,XO Tour Llif3,182706
Yo Gotti,Got Dem Racks,219167
Twista,Unsolved Mystery,242827
Backstreet Boys,Show Me the Meaning of Being Lonely,998
Akase,Rust - Midland Remix,12422
Seal,Kiss from a Rose,47461
Art Department,Tell Me Why (Part I) - Original Mix,445893
&ME,One on One - Bedouin Remix,185537
Natalie Imbruglia,Torn,81738
Metro Boomin,Don't Come Out The House (with 21 Savage),264344
Avril Lavigne,I'm with You,45891
The Legendary Lightness,Hey Ron - Ripperton Remix,695373
Steve Miller Band,The Window,256933
21 Savage,4L,19766
Loose Ends,Slow Down,303280
Playboi Carti,R.I.P.,192026
Yo Gotti,Off Da Top (3am),40392
One Chance,U Can't,198720
Timbaland,Carry Out (Featuring Justin Timberlake),232466
Lil Uzi Vert,Pretty Mami,278
Thrice,Doublespeak,248134
Playboi Carti,Pull Up,59512
Playboi Carti,Pull Up,156898
Mary J. Blige,Be Happy,39762
The Game,Wouldn't Get Far,2739
Quavo,FLIP THE SWITCH (feat. Drake),156195
Isaiah Rashad,Smile,203371
Justin Timberlake,Higher Higher,170891
Quavo,FLIP THE SWITCH (feat. Drake),62926
Jimpster,These Times - Dixon's Retouch - Bonus Track,212903
Five,When the Lights Go Out - Radio Edit,249600
Larry Heard,Deja Vu - Musaria Mix,3336
Backstreet Boys,Show Me the Meaning of Being Lonely,234960
Larry Heard,Deja Vu - Musaria Mix,626
Weezer,Can't Knock The Hustle,975
Maxxi Soundsystem,Medicine - Original Mix,1184
Backstreet Boys,Show Me the Meaning of Being Lonely,57562
Akase,Rust - Midland Remix,322697
Seal,Kiss from a Rose,288426
RÜFÜS DU SOL,Innerbloom,1021
Lil Wayne,Mrs. Officer,208190
Az Yet,Hard To Say I'm Sorry (feat. Peter Cetera),195693
Boyz II Men,Yesterday,188266
&ME,One on One - Bedouin Remix,1044
Art Department,Tell Me Why (Part I) - Original Mix,342405
Seal,Fly Like an Eagle,42983
Greg Paulus,Remo,368020
Thin Lizzy,The Boys Are Back In Town,1253
Mötley Crüe,Home Sweet Home,151069
Natalie Imbruglia,Torn,47704
Avril Lavigne,I'm with You,2461
Metro Boomin,Don't Come Out The House (with 21 Savage),178050
Visioneers,Ike's Mood I,261333
George Michael,Careless Whisper,15073
Eagles,I Can't Tell You Why - 2013 Remaster,289250
"Tyler, The Creator",Garbage,5432
