danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.413,0.873,8,-4.151,1,0.0535,0.000264,0.0025,0.204,0.481,116.681,audio_features,0snQkGI5qnAmohLE7jTsTn,spotify:track:0snQkGI5qnAmohLE7jTsTn,https://api.spotify.com/v1/tracks/0snQkGI5qnAmohLE7jTsTn,https://api.spotify.com/v1/audio-analysis/0snQkGI5qnAmohLE7jTsTn,218933,3
0.556,0.981,1,-2.688,0,0.128,0.00662,0.0,0.218,0.716,101.423,audio_features,0EYOdF5FCkgOJJla8DI2Md,spotify:track:0EYOdF5FCkgOJJla8DI2Md,https://api.spotify.com/v1/tracks/0EYOdF5FCkgOJJla8DI2Md,https://api.spotify.com/v1/audio-analysis/0EYOdF5FCkgOJJla8DI2Md,255467,4
0.376,0.787,5,-4.731,0,0.0395,0.00357,0.0,0.552,0.372,87.105,audio_features,6gCVA6ja6g0foIsWv0RuSZ,spotify:track:6gCVA6ja6g0foIsWv0RuSZ,https://api.spotify.com/v1/tracks/6gCVA6ja6g0foIsWv0RuSZ,https://api.spotify.com/v1/audio-analysis/6gCVA6ja6g0foIsWv0RuSZ,176200,4
0.626,0.791,0,-2.734,1,0.0721,0.000126,0.0219,0.439,0.433,133.204,audio_features,3RgDvs9Jpvn3kUuaTek1R5,spotify:track:3RgDvs9Jpvn3kUuaTek1R5,https://api.spotify.com/v1/tracks/3RgDvs9Jpvn3kUuaTek1R5,https://api.spotify.com/v1/audio-analysis/3RgDvs9Jpvn3kUuaTek1R5,188600,4
0.458,0.958,6,-2.331,1,0.0854,0.0279,0.0,0.108,0.589,142.706,audio_features,249Z7XT6mf8B2zuI0RaeS0,spotify:track:249Z7XT6mf8B2zuI0RaeS0,https://api.spotify.com/v1/tracks/249Z7XT6mf8B2zuI0RaeS0,https://api.spotify.com/v1/audio-analysis/249Z7XT6mf8B2zuI0RaeS0,211333,4
0.333,0.877,5,-1.894,0,0.0602,0.00339,0.000925,0.769,0.286,175.011,audio_features,0lHSJ0ZP8uUPnJXhMdGjOK,spotify:track:0lHSJ0ZP8uUPnJXhMdGjOK,https://api.spotify.com/v1/tracks/0lHSJ0ZP8uUPnJXhMdGjOK,https://api.spotify.com/v1/audio-analysis/0lHSJ0ZP8uUPnJXhMdGjOK,188187,4
0.47,0.796,8,-3.277,0,0.0336,0.362,1.11e-06,0.133,0.215,113.108,audio_features,1VNWaY3uNfoeWqb5U8x2QX,spotify:track:1VNWaY3uNfoeWqb5U8x2QX,https://api.spotify.com/v1/tracks/1VNWaY3uNfoeWqb5U8x2QX,https://api.spotify.com/v1/audio-analysis/1VNWaY3uNfoeWqb5U8x2QX,167907,3
0.361,0.921,6,-2.468,0,0.0717,0.173,6.95e-06,0.358,0.466,139.259,audio_features,41pOIT2t1rvr2Trg1HQChZ,spotify:track:41pOIT2t1rvr2Trg1HQChZ,https://api.spotify.com/v1/tracks/41pOIT2t1rvr2Trg1HQChZ,https://api.spotify.com/v1/audio-analysis/41pOIT2t1rvr2Trg1HQChZ,249227,4
0.287,0.818,1,-1.691,0,0.0384,0.264,2.42e-06,0.12,0.174,153.004,audio_features,1ez4uWPnJwYufNhYTLVsJr,spotify:track:1ez4uWPnJwYufNhYTLVsJr,https://api.spotify.com/v1/tracks/1ez4uWPnJwYufNhYTLVsJr,https://api.spotify.com/v1/audio-analysis/1ez4uWPnJwYufNhYTLVsJr,220267,4
0.46,0.54,5,-5.132,1,0.0381,0.0324,0.0168,0.326,0.0506,137.855,audio_features,4vAHXnJ5YWLq5hbIVzZS1h,spotify:track:4vAHXnJ5YWLq5hbIVzZS1h,https://api.spotify.com/v1/tracks/4vAHXnJ5YWLq5hbIVzZS1h,https://api.spotify.com/v1/audio-analysis/4vAHXnJ5YWLq5hbIVzZS1h,215440,4
